DATETIME,CF,Time,Year,Month,Day,low_corr_PCA_1,low_corr_PCA_2,low_corr_PCA_3,high_corr_cluster1_PCA_1,high_corr_cluster1_PCA_2,high_corr_cluster1_PCA_3,high_corr_cluster1_PCA_4,high_corr_cluster1_PCA_5,high_corr_cluster1_PCA_6,high_corr_cluster1_PCA_7,high_corr_cluster2_PCA_1,high_corr_cluster2_PCA_2,high_corr_cluster2_PCA_3,high_corr_cluster2_PCA_4,high_corr_cluster2_PCA_5,high_corr_cluster2_PCA_6,high_corr_cluster2_PCA_7,high_corr_cluster3_PCA_1,high_corr_cluster3_PCA_2,high_corr_cluster3_PCA_3,high_corr_cluster3_PCA_4,high_corr_cluster3_PCA_5,high_corr_cluster3_PCA_6,high_corr_cluster3_PCA_7
2019-08-07 00:00:00,0.6525241824765219,0,2019,8,7,-0.028185113043576997,-0.1071869560591499,-0.015553167519692266,-0.13650938065925797,-0.051896553450786066,0.029697148104580923,-0.07408748226072684,-0.00267307374406644,0.009824392006763195,-0.008728466564085276,-0.13650938065925766,-0.05189655345078843,0.02969714810455403,-0.07408748226093657,-0.0026730737420609784,0.009824391925472789,-0.008728466433448661,-0.1365093806592577,-0.05189655345079317,0.02969714810458038,-0.0740874822616699,-0.002673073735007891,0.00982439194834668,-0.008728466505602408
2019-08-07 01:00:00,0.6058515946355305,1,2019,8,7,-0.04320968990818833,-0.08541263125111828,-0.02522460244700976,-0.15294614064633014,-0.029538650869182337,0.032020262444014444,-0.07127919497446701,-0.002997923813453882,0.008230882856895681,-0.015919126809457403,-0.15294614064633025,-0.02953865086918114,0.03202026244403772,-0.07127919497454131,-0.0029979238150842857,0.008230882889155786,-0.01591912685540687,-0.15294614064633028,-0.029538650869177216,0.03202026244401706,-0.07127919497420564,-0.0029979238177840943,0.008230882879837302,-0.01591912683450723
2019-08-07 02:00:00,0.5640936824705468,2,2019,8,7,-0.04456456881702784,-0.06876508483663735,-0.02997758004107956,-0.16092879455614176,-0.01856230866921471,0.03181012658829287,-0.06667670820351168,-0.0009570712018656456,0.012133077764998081,-0.016836780535260987,-0.1609287945561419,-0.018562308669213854,0.03181012658831507,-0.06667670820353529,-0.0009570712030219992,0.012133077809634218,-0.016836780600797067,-0.16092879455614187,-0.018562308669209576,0.03181012658829457,-0.06667670820308096,-0.0009570712070987068,0.012133077796042694,-0.016836780565831697
2019-08-07 03:00:00,0.5327205473332919,3,2019,8,7,-0.04066764070356534,-0.06211831450779906,-0.03306619113049455,-0.15936653436139575,-0.012436545635924447,0.031148925221003793,-0.06287750973516475,-0.0024286162945470957,0.009536390561085422,-0.016955963683869455,-0.15936653436139547,-0.012436545635927769,0.03114892522096856,-0.06287750973532692,-0.002428616291382515,0.009536390481611114,-0.016955963557678876,-0.15936653436139547,-0.012436545635933157,0.031148925221001152,-0.0628775097360373,-0.002428616284985241,0.009536390502728649,-0.016955963622990844
2019-08-07 04:00:00,0.4956080135470005,4,2019,8,7,-0.06546746074353803,-0.04981021559162785,-0.025411529404564308,-0.15818696041718,-0.003976541112053599,0.030417217443156546,-0.055017533484322347,-0.002921692259665063,0.004456190527112581,-0.019891645108013167,-0.15818696041717972,-0.003976541112056973,0.03041721744311975,-0.055017533484495236,-0.0029216922564567673,0.0044561904416089365,-0.019891644972370316,-0.15818696041717972,-0.0039765411120627515,0.03041721744315402,-0.05501753348526361,-0.002921692249482778,0.004456190464581708,-0.019891645043288216
2019-08-07 05:00:00,0.4400233682729745,5,2019,8,7,-0.06449434529758936,-0.03738465393702736,-0.02456233509867342,-0.162556694374167,0.0032393708391817793,0.0340176461598745,-0.04572780958569602,-0.009672332967369652,0.0022461093190148805,-0.023408012689751945,-0.1625566943741669,0.00323937083918009,0.03401764615985654,-0.04572780958580683,-0.009672332965584935,0.002246109278481162,-0.02340801262806165,-0.16255669437416678,0.003239370839177474,0.03401764615987185,-0.04572780958615273,-0.009672332962601825,0.002246109288426574,-0.023408012661187572
2019-08-07 06:00:00,0.3844387229989485,6,2019,8,7,-0.06346055733957649,-0.023500757389219525,-0.023671987056801815,-0.16709504466112943,0.010829896913418813,0.03809096404902174,-0.035596987998832846,-0.017030285530432326,-0.00011489260752288475,-0.02717768066476569,-0.1670950446611295,0.010829896913418962,0.03809096404902438,-0.03559698799887571,-0.01703028553020433,-0.00011489259881583037,-0.027177680684062056,-0.1670950446611295,0.010829896913419816,0.03809096404901896,-0.035596987998758954,-0.017030285531592842,-0.0001148926031398795,-0.027177680675802462
2019-08-07 07:00:00,0.322180554075823,7,2019,8,7,-0.06349652588866128,-0.016707375664971685,-0.031264810176659934,-0.17077517922534116,0.013442633588944793,0.04442754759590657,-0.029181818049789497,-0.02465972077756887,-0.0005650125493678293,-0.03092956830001201,-0.17077517922534055,0.013442633588940415,0.044427547595832284,-0.029181818049919494,-0.024659720772151277,-0.0005650127010439825,-0.030929568078280748,-0.17077517922534063,0.01344263358892761,0.044427547595896996,-0.029181818051350224,-0.024659720759757198,-0.0005650126594659605,-0.03092956819702964
2019-08-07 08:00:00,0.243545743259699,8,2019,8,7,-0.09256186021792934,-0.03987808354628304,-0.027898568122990332,-0.1413646533223798,0.018965471049756488,0.04721094145155362,-0.025432941707850376,-0.02703016108128697,-0.00743338948773287,-0.038222466202998226,-0.14136465332237982,0.01896547104975835,0.047210941451567685,-0.02543294170791726,-0.027030161083112222,-0.007433389485551631,-0.03822246620808671,-0.1413646533223798,0.018965471049759368,0.047210941451555244,-0.025432941707902643,-0.027030161082733043,-0.007433389484743649,-0.03822246621221335
2019-08-07 09:00:00,0.1661059392004125,9,2019,8,7,-0.1179354306380473,-0.06981245198449404,0.003870850323738511,-0.06931387914753798,0.011222576605716423,0.0428623841547442,-0.014715508331272867,-0.017534314179926062,-0.004019408852681144,-0.04551405745490479,-0.06931387914753785,0.011222576605717856,0.04286238415476184,-0.014715508331657128,-0.01753431418265823,-0.004019408906677974,-0.045514057354343204,-0.06931387914753787,0.011222576605718161,0.04286238415475286,-0.014715508332126764,-0.017534314176258635,-0.004019408887551612,-0.04551405742180818
